,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Salary_Data,Max_Salary,Min_Salary,Average_Salary,Age of the company in years,AWS,Modeling,Equity,SQL,Fintech,python,Risk,Consulting,Excel,Type,Seniority_Status
7,Analyst,£28K-£42K (Glassdoor Est.),"We are always looking for exceptional talent to join us as our business grows. If you like the sound of what we do and the role description sounds like you, reach out to us to discuss future opportunities.

Analyst

London

Fahrenheit 212 is a global innovation, strategy and design firm. We define innovation strategies and develop products, services, and experiences that create sustainable, profitable growth for our clients.

We are looking for an Analyst to join our London office. We’re looking for someone with the ability to think strategically and creatively, and with passion for developing and expressing new ideas and opportunities. You should be self-propelled by relentless curiosity, resourceful in scouring the world for insight and comfortable in a fast-paced environment.

Your Responsibilities

As an Analyst, you would be working with cross-functional project teams and collaborating closely with members of our Idea Development, Strategy and Design teams. You would be responsible for:
Performing in-depth industry research, extracting key takeaways and organizing them into actionable and digestible documents
Supporting category assessment, competitive analysis and financial modeling
Contributing to the development of innovation strategies and idea portfolios
Identifying needs and desires of consumers, behavior trends, and potential opportunities
Stimulating and inspiring cross-functional teams – both internally and externally
Building key deliverables to be presented to senior executives in our client organizations
Your Future

You would be entering a two-year Analyst Program designed to help you develop a broad range of relevant skills, and prepare you for a potential transition to a role as an Associate in either our Strategy or Idea Development teams. In addition to regular team training sessions, you would be assigned a mentor to work with you on building specific skills and capabilities aligned to pre-defined professional development goals.

Our Requirements

You should have a bachelor’s degree, demonstrating strong academic success and leadership, ideally with internship experience and experience in financial analysis. You should excel in working in collaborative, group based environments. You should be a lateral thinker, adept at uncovering the themes and critical pieces of information that can spark game-changing innovations. You should be self- propelled by restless curiosity, resourceful in scouring the world for insight, comfortable in a highly charged idea-centric environment, fascinated with changing the world, able to move seamlessly from high altitude thinking to the tangible and practical.

You should be able to demonstrate the following characteristics:
Creative Problem-Solving. You should have an intuitive ability for identifying gaps in markets and developing new markets in those gaps.
Comfort with financial tools and analysis. You should be able to work comfortably in Excel and be able to explore, reflect on and contribute to financially driven insights as well as reflect on the business implications of consumer insights.
Creative Sensibilities. You should have an aesthetic appreciation, and ideally experience working with creative teams across a range of disciplines and deliverables.
Contagious Passion. You should see and be inspired by disruptive innovation and transformational ideas, and be able to stoke the fires of those around you.
Considered Opinions. You should be able to form thoughtful and considered perspectives, supported by both objective fact and strategic conviction.
How to Apply
Tell us “Why Fahrenheit 212?” in 200 words, in your cover letter.
Attach your resume or CV.
Submit application.",3.4,Fahrenheit 212,"London, England","New York, NY",51 to 200 employees,2006.0,Company - Private,Consulting,Business Services,£10 to £25 million (GBP),Unsure,28000-42000 ,28000,42000,35000.0,14.0,0,1,0,0,0,0,0,0,1,Unspesified Analyst,Junior Status
11,Commodities Analyst,£53K-£96K (Glassdoor Est.),"Job Description

Commodities Analysts work closely with Portfolio Managers to generate commodity investment ideas based on fundamental research and data analysis. Successful analysts are given greater responsibility and input into investment decisions, with the ultimate goal of growing into a Portfolio Manager role.

Key Responsibilities
Generate investment ideas based on fundamental research and data analysis
Build detailed fundamental commodity supply and demand models
Develop and expand analytics tools and processes while staying on top of market research and insights
Model commodity data for specific markets and produce ad hoc analysis based on short-term market developments
Evaluate and improve data quality

Skillset Requirements
Prior commodities experience
Bachelor’s degree or equivalent experience in statistics, mathematics, computer science, finance or economics
High GPA (>3.8) / 1st Class Hons degree
Strong understanding of financial modeling, specifically using Python and/or VBA, Matlab
Excellent analytical and quantitative skills, with strong attention to detail
Strong written and verbal communications skills
Ability to manage multiple tasks and thrive in a fast-paced team environment
Opportunities available in London, Chicago and Greenwich

About Citadel


Citadel is a global investment firm built around world-class talent, sound risk management, and innovative leading-edge technology. For a quarter of a century, Citadel’s hedge funds have delivered meaningful and measurable results to top-tier investors around the world, including sovereign wealth funds, public institutions, corporate pensions, endowments and foundations.

With an unparalleled ability to identify and execute on great ideas, Citadel’s team of more than 675 investment professionals, operating from offices including Chicago, New York, San Francisco, London, Hong Kong and Shanghai, deploy capital across all major asset classes, in all major financial markets.",5.0,Citadel,"London, England","Chicago, IL",1001 to 5000 employees,1990.0,Company - Private,Unsure,Unsure,£50 to £100 million (GBP),"Soros Fund Management, D. E. Shaw & Co. - Investment Firm, Fortress Investment Group",53000-96000 ,53000,96000,74500.0,30.0,0,1,0,0,0,1,1,0,1,Unspesified Analyst,Junior Status
16,B2B Analyst,£27K-£52K (Glassdoor Est.),"The Company

Addison Lee Group provides seamless quality that everyone can trust. The group comprises of two of the most experienced international ground transportation providers: Addison Lee and Tristar Worldwide. Together we’re committed to transforming the future of global ground transportation by delivering the same high level of service to clients around the world. It’s because of our reputation that we’re the number one trusted provider for journeys that matter, be it a critical business meeting, airport transfer or event.

The Position
The UK Finance team sits at the heart of the business working with business stakeholders to deliver the annual plans, mitigate risk and exploit opportunities. Using a balance of commercial acumen, analytics and management accounting the teamwork to assess new business opportunities, analyse key decisions, report on performance to the business stakeholders and complete the regular month-end reporting and forecasting.

The B2B analyst is pivotal in ensuring the long-term success of the business, playing a key role in helping the senior management and wider sales team understand performance whilst delivering value-add insights to help the sales team improve performance and exploit opportunities. The role is central to the identification of both short term and longer-term trends on both the individual client and wider portfolio level, as well as the creation of reporting platforms that enable the sales team to self-serve their daily insight requirements. The role also provides weekly tracking of new and emerging deal opportunities to enable Senior Sales Team members to manage the pipeline of new revenue opportunities effectively.

What we are looking for?
With support from the Senior Manager, this individual should be a self-starter, be able to work independently and be confident in their judgment and decision making. The role would suit a candidate who is naturally inquisitive and comfortable dealing with large data sets, analysing trends and highlighting those that require further investigation and action to address.
You are tenacious, organised and of a naturally curious mind with strong stakeholder management and communications skills. You are analytical and able to understand and translate data communicating key information in a user-friendly way. Strong literacy and numeracy skills would be advantageous.

Key Responsibilities Include:
• Oversight of the weekly B2B sales reporting vs. budget and target
• Key contact for the sales team to help them understand performance vs. targets
• Proactive analysis into account level sales performance to identify and exploit opportunities
• Organisation and running of sales manager trading meetings, challenging and driving top lines revenue growth
• Maintaining sales database to ensure consistency of reporting
• Develop effective reporting suites for UK sales team to enable members to self-serve their daily reporting requirements
• Produce the biweekly B2B trading pack for a meeting attended by the CCO, CEO, CFO, and UK Finance Director, and step in when Senior Finance manager is unavailable
• Responsible for the creation of annual sales targets
• Monthly reconciliation of B2B performance vs. the financial accounts to ensure continued accuracy
• Continuous process improvement and identification of efficiencies to support business growth
• Support the senior manager in delivering budget and forecast revenues – working closely with a wide range of senior stakeholders from across the business
• Ownership of the forecasting process, working closely with the sales team to have up to date account level revenue projections
• Ad-hoc analysis and preparation of investment cases as per business need

Benefits Include:
Competitive salary and bonus, Wellness Program, Agile Working, Cycle to Work Scheme, Pension and Healthcare Options, 33 days Annual Leave (incl. bank holidays), Additional voluntary benefits via Reward gateway and a Season Ticket Loan

Why should you apply
We are on a journey to ensure we all live and breathe our Group Values and there are so many reasons to apply but to start with:
We are equal opportunities employer
We are Diverse
We are Inclusive
We are Flexible
We are Collaborative
We are well Mindful
… and we offer great benefits including transportation of course!",2.2,Addison Lee,"Paddington, England","London, United Kingdom",1001 to 5000 employees,1975.0,Company - Private,Haulage,Transportation & Logistics,£100 to £500 million (GBP),Unsure,27000-52000 ,27000,52000,39500.0,45.0,0,0,0,0,0,0,1,0,0,Unspesified Analyst,Junior Status
19,Equity Financial Analyst,£36K-£65K (Glassdoor Est.),"A Career in Long/Short Equities at Point72
Long/short equity is Point72’s core strategy and its success is dependent upon our sector-based investing teams. Using fundamental research, our Research Analysts inform the investment strategies of our Portfolio Managers. Through our Point72 University, you have access to an unparalleled training and coaching curriculum – so you can create your best chance of success. We offer you a clear path based on your abilities, hard work, and performance. Join us for a career at the forefront of investing.
What you’ll do
You’ll apply your financial acumen and curiosity to help shape your team’s investment strategies. Using comprehensive research you’ve conducted on companies, industries, and sectors, you’ll build financial models and investment theses. You will never stop learning, whether you’re honing your idea generation skills or applying insights from alternative data analysis. More specifically, you will:
Inform your team’s investment strategies through sophisticated financial models
Perform primary research; attend industry events; build relationships with sell-side analysts and research associates; and analyze big data
Develop your skills through coaching from your Portfolio Manager and by using the full breadth of the Professional Development resources available to you
Conduct yourself with the highest levels of professionalism and integrity in accordance with a best in class compliance program
What’s required
You’re never satisfied with the obvious answer and are always asking the next question. We want you to bring that restless intellect – and your hunger to get it right – to our investing process. While each Analyst role is unique to the specific team, all require the following:
1+ years’ experience in Investment Banking, Private Equity, or Public Investing
Undergraduate degree
Intellectual maturity, exceptional attention to detail, and the ability to manage multiple projects and deadlines in a fast-paced environment
A gritty work ethic and a ceaseless desire to learn
Strong financial modeling, communication, and technical skills
We take care of our people
We invest in our people, their careers, their health, and their well-being. We want you to concentrate on success and leave the rest to us. When you work here, we provide:
Fully-paid health care benefits
Life and Income Protection
Group Self Invested Personal Pension Scheme
Generous parental and family leave policies
Business Travel Accident Insurance
Corporate Wellness Programs
About Point72
Point72 Asset Management is a global firm led by Steven Cohen that invests in multiple asset classes and strategies worldwide. Resting on more than a quarter-century of investing experience, we seek to be the industry’s premier asset manager through delivering superior risk-adjusted returns, adhering to the highest ethical standards, and offering the greatest opportunities to the industry’s brightest talent. We’re inventing the future of finance by revolutionizing how we develop our people and how we use data to shape our thinking. For more information, visit www.Point72.com/working-here.",3.9,Point72,"London, England","Stamford, CT",1001 to 5000 employees,2014.0,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unsure,36000-65000 ,36000,65000,50500.0,6.0,0,1,1,0,0,0,1,0,0,financial analyst,Junior Status
29,"Business Analyst, UK",£33K-£35K (Glassdoor Est.),"We are currently seeking a self-motivated research analyst to join our growing team. In your role as a Business Analyst you will be working with team member on topics of wide variety and significance to our pharma clients working at global headquarters. You will be expected to help with smooth running of current projects, contact external sources such as a range of industry stakeholders and key opinion leaders (KOLs) through telephone research and attendance of international medical congresses. As you move from one project to the next, you will be expected to quickly get up to speed with a new therapy area.

Overall scope of role:
Integral and key member of client engagement team, committed to developing and delivering executable project outcomes to meet specific objectives of our global clients. Working proactively and collaboratively with numerous stakeholders, to ensure smooth running and delivery of multiple projects.

Key Accountabilities:
Conducting primary and secondary research using the most appropriate sources
Analysing and interpreting research findings that uncover and generate insights aligned with the overall brief and client objectives
Working with team subject experts to develop different perspectives and substantive insights
Partnering and overseeing sub-contractors and project work streams
Creating and presenting accurate, insightful, impactful and persuasive reports and presentations to clients
Creating and maintaining project timetables, project plans, quality control practices and procedures to support agreed deliverables
Key Skills/Personal Qualities:
Technical Skills:
PharmD/PhD in a lifescience subject from a leading university, or a Masters plus 1-2 years of relevant experience in biopharma, healthcare or consulting
Strong research and analytical skills with an ability to conceptualise analysis into processes and frameworks
Advanced skills in PowerPoint, Excel and Word
Foreign language skills are preferred
Behavioural Skills:
Strong communication skills – good listener and observer with the ability to communicate effectively and succinctly, verbally and in writing to any audience
Dependable and able to work to own initiative with minimum direction
Curious and critical thinker – passionate about learning new things and striving to do things better
Ability to multi-task and deliver high quality outputs under time-pressured deadlines
Team player – able to work collaboratively and effectively across culturally diverse teams and build credible and strong professional relationships
Excellent attention to detail
Drive and ambition to progress and grow personal capability",4.3,Lifescience Dynamics,"London, England","London, United Kingdom",1 to 50 employees,2004.0,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Unsure,33000-35000 ,33000,35000,34000.0,16.0,0,0,0,0,0,0,0,1,1,business analyst,Junior Status
46,"Financial Analyst, Accounting",£34K-£60K (Glassdoor Est.),"Job Location: London
Salary: Competitive
Posting Date: 24th January 2020
Closing Date: 22nd February 2020

We are seeking a Financial Analyst to become a key member of the UK Accounting team, located in our London office. The role has responsibility for the controllership and accounting function in support of the UK operations. The accounting flows are operated in multiple legal entities with involvement of a number of stakeholders in different locations.
In addition to the accounting and reporting responsibilities, the individual will drive cross-border projects and develop best practice in processes and controllership on an international level. They will also drive implementation of policies with the financial leadership team based out of worldwide Amazon locations.
Candidates for this position will be expected to demonstrate they were top performers at their level.

Scope / key responsibilities:
As a representative of the UK Accounting team, this position has a mix of operational and project based accounting responsibilities including but not limited to:
· Preparation of various deliverables to support both internal and external financial reporting needs, including analytic commentary and the preparation of supplementary financial analysis for management and other stakeholders.
· Preparation and review of monthly balance sheet account reconciliations and annual financial statements.
· Leading certain month end close activities, ensuring that relevant deadlines are met.

Basic Qualifications

· Must have a Bachelors degree
· Must hold CA, ACCA, CPA, ACA or similar credentials
· Will have had ownership of month end close processes and review of reconciliations of multiple legal entities.
· Demonstrable ability to work to tight deadlines on critical projects
· A strong desire to exceed expectations
· Will have worked in a large multi-national organisation of similar size and scope
· Solid organizational, project management skills, and information technology aptitude
· Will have experience of working with UK GAAP, IFRS or US GAAP standards
· Must show evidence of using data to inform decisions
· Must have a demonstrable track record of delivering results
· Must demonstrate fluency in English language both written and verbal
·


Preferred Qualifications

· Strong excel skills required
· Strong stakeholder management skills up to senior staff


#LI-DNI",3.9,Amazon,"London, England","Seattle, WA",10000+ employees,1994.0,Company - Public,Internet,Information Technology,£5 to £10 billion (GBP),"Google, Microsoft, Walmart",34000-60000 ,34000,60000,47000.0,26.0,0,0,0,0,0,0,0,0,1,financial analyst,Junior Status
56,Strats - Quantitative Analyst,£46K-£96K (Glassdoor Est.),"Strats - Quantitative Analyst


Job title: Strats – Quantitative Analyst
Reports to: Head of Strats
Contract: Permanent

Responsibilities:

Strategists occupy the intersection of finance, markets, maths, computer science, and programming. Working side by side with the firm’s trading, sales, banking and investment management professionals, members of the business unit use their mathematical and scientific training to create financial products, advise clients on transactions, measure risk and identify market opportunities.

Our quantitative analysts focus on the pricing and
risk management of complex transactions, ranging from pension fund buyout
trades to exotic assets and derivatives. We are looking for some who can work
on a large project, develop cutting edge analytics, and implement production
quality pricing, analysis and risk management systems.

In their daily work, Strats work closely with our traders and structuring teams, analysing trades and asset origination opportunities for execution and ongoing measurement and management. This emphasis on advanced financial mathematics and a highly analytical approach as an integral part of the risk management of the firm distinguishes Rothesay Life from many of its competitors. In general, we are looking for smart, quantitative, commercial, problem-solving-oriented, “get-things-done” candidates with the skills to deliver robust, high performance software and quantitative analyses and with either experience in financial markets or a keen interest to learn about them.

Skills and Experience:

Required:

margin-left:18.0pt;text-indent:-18.0pt"">=
Advanced quantitative skills (typically evidenced by a degree in maths,
physics, computer science, engineering, etc.)

margin-left:18.0pt;text-indent:-18.0pt"">=
Excellence in applied programming skills - Python, C, C++ or other major
languages.

Preferred:

=
Knowledge of financial mathematics and stochastic
calculus.

=
Understanding of Fixed Income products and
derivatives.

=
Experience in creating and validating pricing and/or risk models
for use in a financial services organisation

Competencies
Technical Skills - Demonstrates strong technical skills required for the role, pays attention to detail, takes initiative to broaden his/her knowledge and demonstrates appropriate analytical skills
Drive and Motivation – Be a self-starter; successfully handles multiple tasks, takes initiative to improve his/her own performance, works intensely towards extremely challenging goals and persists in the face of obstacles or setbacks
Client and Business Focus - Effectively handles difficult requests, builds trusting, long-term relationships with clients and service providers, helps the client to identify/define needs and manages client/business expectations
Teamwork – Demonstrate evidence of being a strong team player, collaborates with others within and across teams, encourages other team members to participate and contribute and acknowledges others' contributions
Communication Skills - Communicates what is relevant and important in a clear and concise manner and shares information/new ideas with others
Judgement and Problem solving - Thinks ahead, anticipates questions, plans for contingencies, finds alternative solutions and identifies clear objectives. Sees the big picture and effectively analyses complex issues
Creativity/Innovation - Looks for new ways to improve current processes and develop creative solutions that are grounded in reality and have practical value
Influencing Outcomes - Presents sound, persuasive rationale for ideas or opinions. Takes a position on issues and influences others' opinions and presents persuasive recommendations

If you would like to understand how we will process your data
should you apply to Rothesay Life, information can be found here: https://www.rothesaylife.com/media/1324/april-2019-ja-pn.pdf",4.8,Rothesay Life,"London, England","London, United Kingdom",201 to 500 employees,2007.0,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,Unsure,46000-96000 ,46000,96000,71000.0,13.0,0,0,0,0,0,1,1,0,1,quantitative analyst,Junior Status
57,Financial Analyst - Accounting - Luxembourg based,£34K-£60K (Glassdoor Est.),"*This role will be based in our European Headquarters in Luxembourg.*

Amazon is seeking a highly analytical, creative and forward-thinking Financial Analyst to become a key member of its Accounting organization. The role is based in Amazon's European head office in Luxembourg and has responsibility for the controllership and accounting function in support of its EMEA operations. The accounting flows are operated in multiple legal entities with involvement of a number of stakeholders in different locations.
In addition to the accounting and reporting responsibilities, the individual will drive cross-border projects and develop best practice in processes and controllership on an international level.
Candidates for this position will be expected to demonstrate they were top performers at their level, who thrive in a challenging workplace environment, and can actively contribute to supporting our growing activity in Europe.

Responsibilities include but are not limited to:
· Conducting monthly, quarterly and yearly closing activities for European entities under US GAAP within relevant deadlines;
·
· Preparation and review of monthly balance sheet account reconciliations;
·
· Leading financial statement reviews under Local GAAPs;
·
· Preparation of various deliverables to support both internal and external financial reporting needs, including analytic commentary and the preparation of supplementary financial analysis for management and other stakeholders;
·
· Working closely with business partners in the EU, and globally, to maintain efficient and compliant accounting processes, effective controls and identify process improvement opportunities;
·
· Actively participating in improvement initiatives, standardization, re-engineering of processes and controls, and implementation of best practices, working closely with systems teams and demonstrating strong understanding of financial accounting systems;
·
· Actively participating in cross functional project launches from scoping through testing and launch;
·
· Conducting thorough analysis of complex accounting issues and preparing US and Local GAAP technical position papers.



Basic Qualifications

· University degree in business/economics/accounting;
· Must hold CPA, ACCA, or similar credentials
· Minimum of 5+ years of experience with an emphasis on accounting, preferably, partly gained within one of the 'Big4' combined with an experience of working for a medium to large international company, in a fast-paced and changing environment;
· Experience working with IFRS or US GAAP and in the preparation of financial statements;
· Demonstrable ability to work to tight deadlines on critical projects
· Detail-oriented yet able to reflect on and understand the big picture;
· Strong communication skills, both verbal and written. Fluent in business English;
·
· Solid organizational, project management skills, and information technology aptitude;

Preferred Qualifications

· Knowledge of Oracle Financial Applications
· Advanced skills in Microsoft Excel
· Experience in using SQL is a plus
· Must be comfortable working in cross-functional teams and in a fast paced company",3.9,Amazon,"London, England","Seattle, WA",10000+ employees,1994.0,Company - Public,Internet,Information Technology,£5 to £10 billion (GBP),"Google, Microsoft, Walmart",34000-60000 ,34000,60000,47000.0,26.0,0,0,0,1,0,0,0,0,1,financial analyst,Junior Status
64,Finance Business Analyst,£47K-£70K (Glassdoor Est.),"As a Finance Business Analyst, you will report into & work with the the AllSaints Technology & Business Analysis teams, being responsible for analysing the As-Is processes for all aspects of Finance. You will have a good understanding of AP, AR and General Ledger processes, including inventory valuation, standardised monthly reporting and statutory financial reporting. Working with the Accounting, AR, AP and Tax teams to document AS-IS and develop To-Be processes. You will be working closely with the project management, business analysis, architecture and QA teams in several AllSaints Programmes, and you will have excellent Retail knowledge and be able to communicate effectively with and influence end users at all levels.


THE ROLE
Analyse, document and propose solutions for technically complex business areas
Prepare functional specifications
Analyse and document business processes
Document workflows and results of business analysis and obtain sign-off from stakeholders
Be the link between stakeholders, development team and any third party IT supplier, throughout the development lifecycle
Facilitate workshops with stakeholders
Gather Business Requirements for IT projects
Working with the Technical Architect to help develop system designs
Create Business Requirements documentation – high level and low level and explain/communicate those to all business and IT interested parties
Create Functional Specification documents
Assess the impact of changing requirements
Identify options for potential solutions and assess for both technical and business suitability.
Produce Test Scenarios and work with the Quality Assurance analyst.
Facilitate training sessions with end users on the new system.

Demonstrable evidence of analysing and documenting complex business processes and use cases
End to end experience of the project lifecycle
Results orientated with good communication and interpersonal skills
Writing requirements and functional specifications
Experience with Usability, Wireframes, User Journeys, Use Cases
Ideally would have experience in writing User Manuals and providing training to users
Develop an understanding of the business issues and data challenges of the IT platforms and AllSaints' organisation
Assist in the preparation of user and system test plans based on business requirements; design and execute the test scenarios and test scripts
Able to deal with stakeholders at all levels and ideally have experience in assessing the cost of various technical solutions and where relevant suggesting suitable alternative solutions

Here at AllSaints we pride ourselves on our customer centric global team and our vision to continually make the coolest clothes to evoke emotion for our customers, worldwide.
AllSaints is proud to be identified as one team; everything about our style and creativity is curated in-house, from store design and construction to our brand image & clothing design. We are truly an agile business which works at pace and takes responsibility in the work we produce.
We are a brand embarking on a very exciting plan and we are seeking new members of the team who want to contribute to this.


WHAT WE STAND FOR
Customer Centric: We work as one proud team to get the best for our customers
One Team: We are joined up and encourage others to share their ideas
Work at Pace: We know our goals, and we work with clear outcomes in mind
Take Responsibility: We are self aware, understand the impact we have on others and are positive about the future
WHY IS ALLSAINTS FOR ME?
Your career matters to us and we will do what it takes to help you on your journey in life. You’ll be challenging yourself and your leadership. The opportunities will be there and you’ll be working within an environment that rewards hard work and innovation. Internal promotion is the norm not the exception and you’ll be supported in your ambition to reach the next step of your career.
You’ll be working in our East London Studios based in London’ vibrant Shoreditch with perks and benefits offered from local businesses including discounts on food, shopping and health & beauty. In addition to this we offer competitive pay and benefits package that includes an amazing employee uniform allowance and discount.
We are an Equal Opportunity employer and we very much look forward to working with you.",3.3,AllSaints,"London, England","London, United Kingdom",1001 to 5000 employees,1994.0,Company - Private,"Department, Clothing, & Shoe Shops",Retail,£100 to £500 million (GBP),Unsure,47000-70000 ,47000,70000,58500.0,26.0,0,0,0,0,0,0,0,0,1,business analyst,Junior Status
92,Data Management Analyst Graduate Programme,£33K-£51K (Glassdoor Est.),"Kubrick Group is a specialist data consultancy with a twist. We hire a diverse range of junior professionals and graduates from across the country, we pay you while we train you in the latest data and business skills and then place you into industry-leading companies in a variety of different sectors. Through our training we will develop you into a highly skilled data consultant who can go onto becoming a leading expert in your field.
As Data Science soars in growth and popularity and the amount of data we produce increases daily, organisations are realising the true impact, value and risk of data. This has resulted in the emergence of a new highly important role, the role of the Data Management Analyst.
To satisfy demands of greater scrutiny and regulations, businesses and institutions are now expected to ensure consistent quality, integrity and usability of their data and having a sound data plan and data governance strategy is not only important but urgent. These analysts are therefore the front line in navigating this new world.
We hire excellent people, who often don’t have any prior data experience, teach them all they need to know and prepare them to help our clients realise their business potential, navigate risks and focus on careful governance and management of their digital information. Our clients range from telecommunications to fashion retail and financial services, giving our consultants the opportunity to work in various thriving industries.
But what does it mean to be a Data Management Analyst?
Kubrick Group is a data technologies consultancy at the forefront of what we call the ‘data governance movement’ and our Data Management analysts are highly sought after. Through our training we equip them with the ability to understand what happens to data in an organisation (i.e. data warehousing and quality management, architecture and security) from a technical, commercial and regulatory perspective. That means our analysts understand the lifecycle of information as it flows through the business, can access the data bases to make sense of the information and check its quality (using SQL etc.), and then present back to the business (using Tableau for example) to influence a company’s decision making on their data management and governance processes. Our consultants are often the commercial voice in an organisations’ data team and play a crucial role as ‘translator’ between the data team and the organisations’ business function allowing both to understand each other and work well together.
Has this caught your interest? – Keep reading and find out how we equip you for the job.
Your first 14-16 weeks at Kubrick Group are set aside for paid training in the skills you need to succeed in your career as a Data Management Analyst. You will work with experienced data governance practitioners and highly skilled technical trainers to:
Understand the commercial landscape and the regulatory drivers which are influencing management and governance of information now and in the future
Practice stakeholder management skills and adapting to an agile environment
Learn data modelling and the latest technology skills a Data Management Consultant needs such as Python, SQL, Collibra and Tableau
Refine your skills working on real life projects to prepare you for being a consultant on client site.
You will also have access to the following soft skills workshops:
Presentation & interview skills and practice
Lunch and Learns – How to research your client before an interview?
Q&As with HQ Teams, Consultant on placements, Kubrick Alumni and Clients
Client Surgeries & Networking
Transition to Client Site
Career Management & Personal Value Statement
What we need from you:
A desire to work with multiple stakeholders and facilitating effective communication between them
A love for problem solving, making sense of something complex and communicating it to others in a way that is easy to understand
An ambition to work with data - don’t let it intimidate you, learning some coding is crucial in today’s age
Geographical flexibility, as our consultants often work across the UK
Educated to degree level with minimum 120 new (or 300 old) UCAS points, A-level (or equivalent) Maths preferred
Apply and become one of our sought-after consultants and be part of the ‘data governance’ movement!
Salary:
£32,000 after commencing client project work, with a rise after one year of project work to £40,000
At Kubrick Group we have a clear vision: to be the place where a diverse mix of talented people want to come and do their best work. We pride ourselves on our Data Inclusive initiative which aims to improve diversity in data and technology teams across industries.",3.5,Kubrick Group,"London, England","London, United Kingdom",201 to 500 employees,2016.0,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Unsure,33000-51000 ,33000,51000,42000.0,4.0,0,0,0,1,0,1,1,0,1,data analyst,Junior Status
